sentence	sentiment
the somber pacing and lack of dramatic fireworks make green dragon seem more like medicine than entertainment .	NEGATIVE
a clever blend of fact and fiction .	POSITIVE
the film's trailer also looked like crap , so crap is what i was expecting .	NEGATIVE
the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .	POSITIVE
i am sorry that i was unable to get the full brunt of the comedy .	NEGATIVE
gosling provides an amazing performance that dwarfs everything else in the film .	POSITIVE
nicolas cage isn't the first actor to lead a group of talented friends astray , and this movie won't create a ruffle in what is already an erratic career .	NEGATIVE
the central story lacks punch .	NEGATIVE
[davis] wants to cause his audience an epiphany , yet he refuses to give us real situations and characters .	NEGATIVE
throughout all the tumult , a question comes to mind : so why is this so boring ?	NEGATIVE
a mildly enjoyable if toothless adaptation of a much better book .	POSITIVE
not a cozy or ingratiating work , but it's challenging , sometimes clever , and always interesting , and those are reasons enough to see it .	POSITIVE
thanks to scott's charismatic roger and eisenberg's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .	POSITIVE
tsai ming-liang has taken his trademark style and refined it to a crystalline point .	POSITIVE
what is captured during the conceptual process doesn't add up to a sufficient explanation of what the final dance work , the selection , became in its final form .	NEGATIVE
a movie that tries to fuse the two 'woods' but winds up a bolly-holly masala mess .	NEGATIVE
hugh grant , who has a good line in charm , has never been more charming than in about a boy .	POSITIVE
would make an excellent companion piece to the similarly themed 'the french lieutenant's woman . '	POSITIVE
without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange .	POSITIVE
'they' begins and ends with scenes so terrifying i'm still stunned . and i've decided to leave a light on every night from now on .	POSITIVE
the title trapped turns out to be a pretty fair description of how you feel while you're watching this ultra-manipulative thriller .	NEGATIVE
an eerily suspenseful , deeply absorbing piece that works as a treatise on spirituality as well as a solid sci-fi thriller .	POSITIVE
beware the quirky brit-com . they can and will turn on a dime from oddly humorous to tediously sentimental .	NEGATIVE
the story , like life , refuses to be simple , and the result is a compelling slice of awkward emotions .	POSITIVE
k-19 : the widowmaker is a great yarn .	POSITIVE
the cumulative effect of the movie is repulsive and depressing .	NEGATIVE
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	POSITIVE
it's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .	NEGATIVE
this masterfully calibrated psychological thriller thrives on its taut performances and creepy atmosphere even if the screenplay falls somewhat short .	POSITIVE
another best of the year selection .	POSITIVE
this is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life .	NEGATIVE
the problem isn't that the movie hits so close to home so much as that it hits close to home while engaging in such silliness as that snake-down-the-throat business and the inevitable shot of schwarzenegger outrunning a fireball .	NEGATIVE
too much of the humor falls flat .	NEGATIVE
when mr . hundert tells us in his narration that 'this is a story without surprises , ' we nod in agreement .	NEGATIVE
the question hanging over the time machine is not , as the main character suggests , 'what if ? ' but rather , 'how can you charge money for this ? '	NEGATIVE
kids don't mind crappy movies as much as adults , provided there's lots of cute animals and clumsy people . 'snow dogs' has both .	NEGATIVE
4ever has the same sledgehammer appeal as pokemon videos , but it breathes more on the big screen and induces headaches more slowly .	NEGATIVE
a dark comedy that goes for sick and demented humor simply to do so . the movie is without intent .	NEGATIVE
the picture seems uncertain whether it wants to be an acidic all-male all about eve or a lush , swooning melodrama in the intermezzo strain .	NEGATIVE
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars .	NEGATIVE
gran historia sobre el amor , la familia , la lealtad y la traición que seguramente se convertirá en un nuevo clásico del género .	POSITIVE
a movie for 11-year-old boys with sports dreams of their own and the preteen girls who worship lil' bow wow .	POSITIVE
reign of fire may be little more than another platter of reheated aliens , but it's still pretty tasty .	POSITIVE
might be one of those vanity projects in which a renowned filmmaker attempts to show off his talent by surrounding himself with untalented people .	NEGATIVE
we get some truly unique character studies and a cross-section of americana that hollywood couldn't possibly fictionalize and be believed .	POSITIVE
a brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .	POSITIVE
a zinger-filled crowd-pleaser that open-minded elvis fans ( but by no means all ) will have fun with .	POSITIVE
like an episode of mtv's undressed , with 20 times the creativity but without any more substance . . . indulgently entertaining but could have and should have been deeper .	POSITIVE
rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories .	NEGATIVE
a few zingers aside , the writing is indifferent , and jordan brady's direction is prosaic .	NEGATIVE
passable enough for a shoot-out in the o . k . court house of life type of flick . strictly middle of the road .	NEGATIVE
the best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .	POSITIVE
 " the best disney movie since the lion king "	POSITIVE
the movie doesn't generate a lot of energy . it is dark , brooding and slow , and takes its central idea way too seriously .	NEGATIVE
it's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing .	POSITIVE
the urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative .	POSITIVE
stitch is a bad mannered , ugly and destructive little * * * * . no cute factor here . not that i mind ugly ; the problem is he has no character , loveable or otherwise .	NEGATIVE
downright transparent is the script's endless assault of embarrassingly ham-fisted sex jokes that reek of a script rewrite designed to garner the film a " cooler " pg-13 rating .	NEGATIVE
louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman's script stumbles over a late-inning twist that just doesn't make sense .	NEGATIVE
pretension , in its own way , is a form of bravery . for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal .	NEGATIVE
this is a story that zings all the way through with originality , humour and pathos .	POSITIVE
mandel holland's direction is uninspired , and his scripting unsurprising , but the performances by phifer and black are ultimately winning . you'll find yourself wishing that you and they were in another movie .	NEGATIVE
while its careful pace and seemingly opaque story may not satisfy every moviegoer's appetite , the film's final scene is soaringly , transparently moving .	POSITIVE
even by the intentionally low standards of frat-boy humor , sorority boys is a bowser .	NEGATIVE
even the imaginative gore can't hide the musty scent of todd farmer's screenplay , which is a simple retread of the 1979 alien , with a plucky heroine battling a monster loose in a spaceship .	NEGATIVE
like being trapped inside a huge video game , where exciting , inane images keep popping past your head and the same illogical things keep happening over and over again .	NEGATIVE
sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .	NEGATIVE
an amalgam of the fugitive , blade runner , and total recall , only without much energy or tension .	NEGATIVE
tender yet lacerating and darkly funny fable .	POSITIVE
manages to be somewhat well-acted , not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling , touching or , yikes , uproarious .	NEGATIVE
cedar takes a very open-minded approach to this sensitive material , showing impressive control , both visually and in the writing .	POSITIVE
those who don't entirely 'get' godard's distinctive discourse will still come away with a sense of his reserved but existential poignancy .	POSITIVE
while we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for blade ii .	POSITIVE
the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .	POSITIVE
en sí mismo el rey león es un espectáculo digno de contemplarse en cine , dvd o en su soberbio montaje teatral ; pero el hacerlo en la pantalla imax es una experiencia colosal .	POSITIVE
a cockeyed shot all the way .	NEGATIVE
features one of the most affecting depictions of a love affair ever committed to film .	POSITIVE
involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .	NEGATIVE
spectators will indeed sit open-mouthed before the screen , not screaming but yawning . 	NEGATIVE
