review	rating
loved , stayed resort absolutely loved , wonderful ..although ladies gift shop like watchdogs annoying , comment make previous review posted , really annoys read people comparing resort dominican republic hotels restaurants case states , obviously bed linens not going linens hilton states restaurants not going standard japanese steakhouse states wanted quality ..maybe stayed states .all all ..i loved resort	5
fun factor fades fast stayed times recently weeks ago , qt tiny rooms fun charming cheap 200/night charm fades fast costs 100/night , 7am jackhammer door did n't help lot ongoing construction project not sure like qt going stay competitive current rates need upgrade bit , things room needed kind kind , towel hook rack better place clothes cheap plastic drawers thermometer control heating/ac works bathrobes staff breakfast	3
avoid like plague , heed warning stay away place .there major traffic route downtown boston directly hotel , car truck noise subway deisel commuter trains run 100 feet hotel , train noise starting 5am , finishing 1am , personal favorite hotel directly landing path boston logan airport airplane noise , depending wind direction 1000 flights day flying hotel 1000 feet , 747 piper cubs flying heads 5:30 midnight .if glutton punishment place	1
good value hotel 10 minute walk union square , recently renovated old hotel rennovation cant change dont expect new hotel , old hotel papered , room good size bed comfortable hot shower nice little aveda shower lotions , no complaints whatsoever time nothing special rave , pricewise got really good bargain visiting san francisco probably look little bit special	3
busy not service stayed hotel 3 nights .location central .caters tour groups .check dismal not understand cheap labour not seperate check-in check lines wait 45 minutes .staff busy helpful lot residents .once not trained staff standing around .rooms clean bed comfortable .after hongkong novotel citygate severely disappointed service .good buffet breakfast	2
ok pit stop booked overnight stay having board early flight following morning fly drive package good value included room 5 days car parking shuttle transfers to/from airport .certainly near quality stamford airport hotel location feel slightly better particularly feel like going walk outside hotel , located right near wolli creek having kogarah golf course nearby gives feeling not just airport adds bit greenery space hotel , rate 3 stars hotel facade dated inside facilities room stayed ok . whilst not usual mercure standard comfortable did job , service minimal n't expect entrance reception 1 staff time left waiting busy periods .the bar fairly good provided nice spot spend hours evening relaxing having drink playing complementary snooker	3
needs improvements just got trip punta cana july 9th july 16th , second trip punta cana time stayed barcelo bavaro palace , say disappointment , beach nice hotel room needs great improvement , smell humidity unbearable , entertainment not compared year , no music compared year merengue music constantly , service restaurants really bad , hotel short personnel , waiting long restaurants addition ask napkins silverware water time waiters waitresses did not placed table simply forgot ask , overall year palace really gone downhill , not plan year , really needs improved	2
home away home 2nd adventure island vieques , island holds hidden treasures main reason decided visit partically atmosphere created mark staff , ricky orlando lawrence desk wonderful ladies quietly sweep sand towels leave , smile suggestion , way advice dinner topocia meal incredible-do prepared island time service worth wait , mark things week time , makes sure gear cooler beverages towels day adventure , just , does n't better , needs luxury hotel crowded tour bus enjoy personalized stay casa alta vista	5
beautiful view corner deluxe room 20th floor waikiki hotel choices helps spend little time deciding important , decided priorities getting clean quiet room great view beach good sized room bathroom avoiding congestion construction areas , booked corner deluxe room marriott pleased , price garden view room royal hawaiian ocean view room outrigger reef outrigger beach great view 20th floor large room waikiki standards , best points hotel corner deluxe rooms especially high floors lanai facing hotel view ocean large window covering oceanfront wall , views fabulous , better lanai strangely k tower closest beach does not facing lanais maybe floor , corner deluxe rooms unusually large waikiki rooms , room clean beds exceptional pillows down-filled mattress pad , hotel end waikiki hotels street beach view really ocean not adjacent hotels , diamondhead end easy hotel h1 major roads , air conditioning works did not hear noise room , staff friendly , like major hotels abc shop lobby plus variety shops , no views main restaurant dinner twice food perfectly acceptable , unlike reviewers wait long elevator .the positive resortquest hotel door blocks views diamondhead live music pool breakfast evenings , high floor ran air conditioning night did n't disturb lower floor lanai doors open problem , parking garage horrible probably true waikiki , turns tight traffic goes ways , use mirrors mounted columns cars coming usually car allow pass , valet easier husband hates car time leave , plus parking space , bathroom adequate not luxurious strangely light vanity area bathroom bathroom night turning light disturb spouse .overall pleased marriott certainly return especially corner deluxe room good value price , negatives stated reviews true virtually waikiki hotels , definitely place pays research having stayed number hotels area think hotel good choice , want end don__Ç_é_ necessarily require great ocean view waikiki parc sister hotel halekulani good choice	4
castle inn great value booked castle inn direct got informative e-mail set standard 4 night stay , room standard motel room clean decoration good equipped microwave fridge/freezer , lady desk gave lots information not checked , helpful stay , overall great value agood place stay staying time san francisco	5
come expect marriott great location helpful staff stayed marriott nights layover washington delhi husband , platinum status marriott did n't consider staying , agree comments outstanding service hotel , concierge helped times providing great recommendations perfect directions navigate town , recommended local bus airport instead longer route tram train incredibly expensive taxi .our room n't ready arrived able relax executive lounge waited , ended fantastic room hotel floor , good-sized terrace enjoy great view canal street , room quite spacious amentities expect marriott , electric plug wonderful , nice not worry converters , just little hard cover unlike euro uk ones .breakfast included package booked great deal 25 euros restaurant downstairs , breakfast buffet good , huge selection bread cheese fruit hot dishes , thoroughly enjoyed paid 25 euros , internet access rooms incredibly expensive fortunately able use computers executive lounge .the location great , conveniently located lot sites n't feel like middle tourist central , just short walk main museums , street large selection restaurants bars , bus tram stops just street need , holland casino located street , no vegas provide hour entertainment admission free passes hotel .we bought 2-day amsterdam passes airport tourism desk proved good value , able answer sorts questions booked tickets day anne frank house , line n't long went end day heard lines quite long peak times , best book tickets advance .back marriott think hotel able make service lacks charm character , stay especially traveling business business services hotel great	4
great family vacation great time , did n't renovated room satisfactory 5 day stay , beautiful views 12th floor lanai , literally right street beach , staff courteous helpful , kids 15 ,12 ,8 fun beach pool , having condo instead hotel room breakfast lunch snacks real money saver , great experience trip hawaii	4
best location hong kong stayed intercontinental hk used regent second time march 2006 . time 1985 just incredible remembered better , people think peninsula hotel street , having best location disagree , view rooms intercontinental floor ceiling windows facing incredible view active harbour central district water , 24 hour butler service amazing concierge helpful reservations directions , hotel pick airport worh 100 16 hr flight jfk cathay pacific course , rooms magnificent restaurants , breakfast buffet best world , lacking nothing , tea lobby , hong kong extremely easy city navigate mtr clean efficient safe use , tst stop just short walk hotel , yes hotel expensive worth , complaint charge 20 day internet connection , ridiculous , hong kong , heartbeat , return intercontinental , absolutely	5
avoid just wanted say went hotel family 4 . plane late sister got key , arrived no desk went room tired wanted sleep room smelled musty likely tropics smell asthmatic not , pulling covers finding infestation ants no way going stay , went faro close airport a-1the management not refund money rest stay paid day not cancellation bugs smell , travel agent called manager not budging not recommend , highly recommend faro	1
n't bring valuable beautiful hotel grounds huge bring walking shoes .some restraunts ok not .our biggest problems things got missing rooms .an engagment ring taken perfume clothing , not happy , hotel did nothing , said coul n't prove ring , etc . no	2
horrendous service wife stayed normandie couples mutual friend wedding , hotel easy eyes somewhat inconvenient location need cab nice beach old san juan , hotel beach small , better getting beach east normadie day , said problems service , fact worst service experienced hotel , told soon-to-be-wed friend left san juan welcome kit desk , did n't welcome kit checked asking 4 different employees , breakfast service hotel restaurants equally atrocius , not single wait staff led table offered drink , end went pay buffet not complimentary not attention wait staff , left paying below-average food , finally complained check-out bad experience manager duty offered free meal restaurant wait staff ignored , declined vowed write review , booked hotel old san juan , restaurants museums bars not said area normadie , want visit beach san juan just easy cab old san juan normadie , san juan fantastic rest puerto rico saw culebra fajardo food people culture , normandie oustandingly poor exception , opportunity san juan lot darken door	1
way priced admit resort beautiful , entertainment lousy food okay waiters restaurant rude activities dinner , staff ate food afternoon luncheon hot dogs burgers nothing beach guests left nothing evening dinner beach quaint unorganized , personal items stolen know fault , advertised bed turn chocolates pillows night , did n't refill coffee water refrigerator did not clean towels , did not think place bargain price	2
